iter	RMSE
0	0.365323542
1	0.3581637464
2	0.3536819581
3	0.3484000598
4	0.3437416195
5	0.3388742373
6	0.33518021
7	0.3316741414
8	0.3280413028
9	0.323669946
10	0.3211299807
11	0.3181848928
12	0.3150698367
13	0.3119901391
14	0.308585119
15	0.3064895358
16	0.3044482954
17	0.3022648088
18	0.300173344
19	0.2986399829
20	0.2964076538
21	0.2937737337
22	0.2921830036
23	0.2899227621
24	0.2887670469
25	0.2872022997
26	0.2856810626
27	0.2840940803
28	0.2819622062
29	0.2799411182
30	0.2781411094
31	0.2765922248
32	0.2747208127
33	0.273085586
34	0.2715076532
35	0.2705130137
36	0.2692452742
37	0.2679141746
38	0.2666556506
39	0.2658869409
40	0.2647620387
41	0.263295075
42	0.2617758531
43	0.2606621859
44	0.2589123924
45	0.2579434711
46	0.2567390865
47	0.2554381858
48	0.2548912179
49	0.2538474325
50	0.2530854048
51	0.251821793
52	0.2504928664
53	0.2491953025
54	0.2488764915
55	0.2481607582
56	0.2475646283
57	0.2467101735
58	0.245926996
59	0.2447081682
60	0.2438621906
61	0.2422489084
62	0.2414473391
63	0.2402945385
64	0.2396592388
65	0.2381726371
66	0.2373668921
67	0.2368104294
68	0.2360630653
69	0.2352475597
70	0.2342970282
71	0.2326876443
72	0.2319858877
73	0.230973263
74	0.2297797598
75	0.229131634
76	0.2282739963
77	0.2277265898
78	0.2261136696
79	0.2254502635
80	0.2253206308
81	0.2241447583
82	0.2232490623
83	0.222529724
84	0.2212279648
85	0.2202824073
86	0.2195821928
87	0.2187973432
88	0.2179064848
89	0.216330532
90	0.2153952131
91	0.2143252578
92	0.214104986
93	0.2130629195
94	0.2128160234
95	0.2115498169
96	0.2106696765
97	0.209717729
98	0.2090056758
99	0.2080530982
