iter	Passed	Remaining
0	4	439
1	8	411
2	12	391
3	15	372
4	19	361
5	22	357
6	26	351
7	30	345
8	33	339
9	37	334
10	40	328
11	44	322
12	47	317
13	50	313
14	54	308
15	60	316
16	65	321
17	70	320
18	74	316
19	77	311
20	81	305
21	84	300
22	88	296
23	92	291
24	95	287
25	99	282
26	103	278
27	106	274
28	110	270
29	114	266
30	117	262
31	121	258
32	124	253
33	128	249
34	131	244
35	135	240
36	139	237
37	143	233
38	147	229
39	153	229
40	156	225
41	160	221
42	163	217
43	167	213
44	171	209
45	176	206
46	181	205
47	187	203
48	192	200
49	197	197
50	201	193
51	205	189
52	209	186
53	214	182
54	218	178
55	223	175
56	227	171
57	230	167
58	235	163
59	239	159
60	243	155
61	247	151
62	252	148
63	256	144
64	261	140
65	265	136
66	269	132
67	274	129
68	278	125
69	283	121
70	287	117
71	292	113
72	296	109
73	301	105
74	305	101
75	310	97
76	314	93
77	318	89
78	322	85
79	327	81
80	330	77
81	334	73
82	338	69
83	342	65
84	346	61
85	350	57
86	354	52
87	358	48
88	362	44
89	366	40
90	370	36
91	375	32
92	378	28
93	380	24
94	384	20
95	388	16
96	392	12
97	397	8
98	401	4
99	405	0
